시군구,피해주택수
가평군,3
강남구,12
강동구,28
강릉시,2
강북구,36
강서구,287
거제시,1
경산시,4
경주시,1
계양구,33
고양시 덕양구,9
고양시 일산동구,16
고양시 일산서구,7
곡성군,2
과천시,1
관악구,98
광명시,2
광산구,32
광양시,17
광주시,19
광진구,12
구로구,106
구리시,14
구미시,7
군포시,31
금정구,30
금천구,141
김천시,4
김포시,14
김해시,3
나주시,38
남구,31
남동구,47
남양주시,12
남원시,2
노원구,4
논산시,4
달서구,17
당진시,2
대덕구,2
도봉구,21
동구,17
동대문구,28
동래구,6
동작구,45
마포구,32
목포시,1
무안군,1
미추홀구,185
보령시,1
보은군,2
부산진구,19
부천시 소사구,38
부천시 오정구,16
부천시 원미구,66
부평구,66
북구,22
사상구,13
사하구,2
서구,66
서귀포시,2
서대문구,10
서산시,4
서천군,1
서초구,1
성남시 분당구,6
성남시 수정구,3
성남시 중원구,10
성동구,2
성북구,40
세종,35
세종시,23
속초시,2
송파구,21
수성구,3
수영구,14
수원시 권선구,50
수원시 영통구,13
수원시 장안구,8
수원시 팔달구,16
순천시,19
시흥시,7
아산시,3
안산시 단원구,21
안산시 상록구,29
안성시,3
안양시 동안구,2
안양시 만안구,33
양산시,2
양주시,2
양천구,55
양평군,2
여수시,1
여주시,2
연수구,6
연제구,13
영도구,11
영등포구,39
예천군,1
오산시,16
용인시 기흥구,13
용인시 수지구,17
용인시 처인구,7
원주시,2
유성구,8
은평구,69
음성군,1
의왕시,3
의정부시,17
이천시,14
익산시,2
전주시 덕진구,4
전주시 완산구,3
제주시,8
종로구,2
중구,24
중랑구,63
증평군,2
진주시,7
창원시 마산합포구,2
창원시 성산구,2
창원시 의창구,2
창원시 진해구,2
천안시 동남구,2
천안시 서북구,17
청주시 서원구,2
청주시 청원구,1
칠곡군,1
파주시,19
평택시,12
포천시,1
포항시 남구,4
포항시 북구,1
하남시,36
해운대구,9
홍천군,2
화성시,71
화순군,1
